C07C1/00	いずれも炭化水素でない１個またはそれ以上の化合物からの炭化水素の製造
C07C219/10	環を含有する炭素骨格の非環式炭素原子に結合しているエステル化カルボキシル基をもつカルボン酸でエステル化された少なくとも１個の水酸基をもつもの
C07C219/12	６員芳香環以外の環の炭素原子に結合しているエステル化カルボキシル基をもつカルボン酸でエステル化された少なくとも１個の水酸基をもつもの
C07C219/14	６員芳香環の炭素原子に結合しているエステル化カルボキシル基をもつカルボン酸でエステル化された少なくとも１個の水酸基をもつもの
C07C219/16	無機酸またはその誘導体でエステル化された少なくとも１個の水酸基をもつもの
C07C219/18	炭素骨格が飽和で環を含有するもの
C07C219/20	炭素骨格が不飽和のもの
C07C219/22	そして６員芳香環を含有するもの
C07C219/24	同じ炭素骨格の６員芳香環以外の環の炭素原子に結合しているエステル化された水酸基またはアミノ基をもつもの
C07C219/26	少なくとも１個の６員芳香環の炭素原子に結合しているエステル化された水酸基と，同じ炭素骨格の非環式炭素原子または６員芳香環以外の環の炭素原子に結合しているアミノ基をもつもの
C07C219/28	炭素骨格の非環式炭素原子に結合しているアミノ基をもつもの
C07C219/30	６員芳香環または６員芳香環を含有する縮合環系にさらに単結合の酸素原子で置換された炭素鎖で結合されたアミノ基をもつもの
C07C219/32	６員芳香環の炭素原子に結合しているアミノ基と，同じ炭素骨格の非環式炭素原子または６員芳香環以外の環の炭素原子に結合しているエステル化された水酸基をもつもの
C07C219/34	同じ炭素骨格の６員芳香環の炭素原子に結合しているアミノ基とエステル化された水酸基をもつもの
C07C221/00	同じ炭素骨格に結合しているアミノ基と二重結合の酸素原子を含有する化合物の製造
C07C223/00	同じ炭素骨格に結合しているアミノ基と―ＣＨＯ基を含有する化合物
C07C223/02	炭素骨格の非環式炭素原子に結合しているアミノ基をもつもの
C07C223/04	炭素骨格の６員芳香環以外の環の炭素原子に結合しているアミノ基をもつもの
C07C223/06	炭素骨格の６員芳香環の炭素原子に結合しているアミノ基をもつもの
C07C225/00	同じ炭素骨格に結合しているアミノ基と二重結合の酸素原子を含有する化合物で，二重結合の酸素原子の少なくとも１個が―ＣＨＯ基の一部でないもの，例．アミノケトン
C07C225/02	炭素骨格の非環式炭素原子に結合しているアミノ基をもつもの
C07C225/04	炭素骨格が飽和のもの
C07C225/06	非環式のもの
C07C225/08	環を含有するもの
C07C225/10	環の一部ではない炭素原子に結合している二重結合の酸素原子をもつもの
C07C225/12	環の一部である炭素原子に結合している二重結合の酸素原子をもつもの
C07C225/14	炭素骨格が不飽和のもの
C07C225/16	６員芳香環を含有するもの
C07C225/18	炭素骨格が６員芳香環以外の環も含有するもの
C07C225/20	炭素骨格の６員芳香環以外の環の炭素原子に結合しているアミノ基をもつもの
C07C225/22	炭素骨格の６員芳香環の炭素原子に結合しているアミノ基をもつもの
C07C225/24	炭素骨格がキノン環の炭素原子を含有するもの
C07C225/26	キノン環またはキノン環を含有する縮合環系の炭素原子に結合しているアミノ基をもつもの
C07C225/28	非縮合キノン環のもの
C07C225/30	２個の環からなる縮合キノン環のもの
C07C225/32	少なくとも３個の環からなる縮合キノン環のもの
C07C225/34	アミノアントラキノン
C07C225/36	炭素骨格がさらに単結合の酸素原子で置換されているもの
C07C227/00	同じ炭素骨格に結合しているアミノ基とカルボキシル基を含有する化合物の製造
C07C227/02	アミノ基を含有する化合物におけるカルボキシル基の形成，例．アミノアルコールの酸化
C07C227/04	カルボキシル基を含有する化合物におけるアミノ基の形成
C07C227/06	酸の炭素骨格の炭素原子数の増加を伴わない付加または置換反応によるもの
C07C227/08	アンモニアまたはアミンと官能基を含有する酸との反応によるもの
C07C227/10	炭素骨格における炭素原子数の増加が同時におこるもの
C07C227/12	アミノ基とカルボキシル基の形成
C07C227/14	すでにアミノ基とカルボキシル基を含有している化合物またはその誘導体からのもの
C07C227/16	アミノ基およびカルボキシル基が関与しない反応によるもの
C07C227/18	アミノ基またはカルボキシル基が関与する反応によるもの，例．エステルまたはアミドの加水分解，ハライド，塩またはエステルの形成
C07C227/20	Ｎ―アシル化アミノ酸またはその誘導体の加水分解によるもの，例．カルバマートの加水分解
C07C227/22	ラクタム，環式ケトンまたは環式オキシムからのもの，例．ベックマン転位が関与する反応によるもの
C07C227/24	ヒダントインからのもの
C07C227/26	カルボキシル基を含有する化合物とＨＣＮもしくはその塩およびアミンとの反応によるもの，またアミノニトリルからのもの
C07C227/28	天然物からのもの
C07C227/30	光学異性体の製造
C07C227/32	立体特異的合成によるもの
C07C227/34	光学異性体の分離によるもの
C07C227/36	光学異性体のラセミ化
C07C227/38	分離；精製；安定化；添加剤の使用（光学異性体の分離Ｃ０７Ｃ２２７／３４）
C07C227/40	分離；精製
C07C227/42	結晶化
C07C227/44	安定化；添加剤の使用
C07C229/00	同じ炭素骨格に結合しているアミノ基とカルボキシル基を含有する化合物
C07C229/02	同じ炭素骨格の非環式炭素原子に結合しているアミノ基とカルボキシル基をもつもの
C07C229/04	炭素骨格が非環式で飽和のもの
C07C229/06	炭素骨格に結合しているただ１個のアミノ基と１個のカルボキシル基をもつもの
C07C229/08	アミノ基の窒素原子がさらに水素原子に結合しているもの
C07C229/10	アミノ基の窒素原子がさらに非環式炭素原子または６員芳香環以外の環の炭素原子に結合しているもの
C07C229/12	非環式炭素骨格の炭素原子に結合しているもの
C07C229/14	環を含有する炭素骨格の炭素原子に結合しているもの
C07C229/16	アミノ基またはカルボキシル基で置換された炭化水素基の炭素原子に結合しているもの，例．エチレンジアミン４酢酸，イミノジ酢酸
C07C229/18	アミノ基の窒素原子がさらに６員芳香環の炭素原子に結合しているもの
C07C229/20	炭素骨格がさらにハロゲン原子またはニトロもしくはニトロソ基で置換されているもの
C07C229/22	炭素骨格がさらに酸素原子で置換されているもの
C07C229/24	炭素骨格に結合している２個以上のカルボキシル基をもつもの，例．アスパラギン酸
C07C229/26	炭素骨格に結合している２個以上のアミノ基をもつもの，例．リジン
C07C229/28	炭素骨格が飽和で環を含有するもの
C07C229/30	炭素骨格が非環式で不飽和のもの
C07C229/32	炭素骨格が不飽和で，６員芳香環以外の環を含有するもの
C07C229/34	炭素骨格が６員芳香環を含有するもの
C07C229/36	炭素骨格の同じ炭素原子に結合している少なくとも１個のアミノ基と１個のカルボキシル基をもつもの
C07C229/38	同じ炭素骨格の非環式炭素原子に結合しているアミノ基と６員芳香環の炭素原子に結合しているカルボキシル基をもつもの
C07C229/40	同じ炭素骨格の少なくとも１個の６員芳香環の炭素原子に結合しているアミノ基と，非環式炭素原子に結合しているカルボキシル基をもつもの
C07C229/42	６員芳香環または６員芳香環を含有する縮合環系に，飽和炭素鎖で連結しているカルボキシル基をもつもの
C07C229/44	６員芳香環または６員芳香環を含有する縮合環系に，不飽和炭素鎖で連結しているカルボキシル基をもつもの
C07C229/46	同じ炭素骨格の６員芳香環以外の環の炭素原子に結合しているアミノ基またはカルボキシル基をもつもの
C07C229/48	同じ非縮合環の炭素原子に結合しているアミノ基とカルボキシル基をもつもの
C07C229/50	同じ縮合環系の一部である炭素原子に結合しているアミノ基とカルボキシル基をもつもの
C07C229/52	同じ炭素骨格の６員芳香環の炭素原子に結合しているアミノ基とカルボキシル基をもつもの
C07C229/54	同じ非縮合６員芳香環の炭素原子に結合しているアミノ基とカルボキシル基をもつもの
C07C229/56	オルト位に結合しているアミノ基とカルボキシル基をもつもの
C07C229/58	少なくとも１個のアミノ基の窒素原子がさらに６員芳香環の炭素原子に結合しているもの，例．Ｎ―フェニル―アントラニル酸
C07C229/60	メタまたはパラ位に結合しているアミノ基とカルボキシル基をもつもの
C07C229/62	同じ６員芳香環の炭素原子に結合しているアミノ基と少なくとも２個のカルボキシル基をもつもの
C07C229/64	炭素骨格がさらに単結合の酸素原子で置換されているもの
C07C229/66	炭素骨格がさらに二重結合の酸素原子で置換されているもの
C07C229/68	同じ縮合環系の一部である６員芳香環の炭素原子に結合しているアミノ基とカルボキシル基をもつもの
C07C229/70	炭素骨格がさらに単結合の酸素原子で置換されているもの
C07C229/72	炭素骨格がさらに二重結合の酸素原子で置換されているもの
C07C229/74	縮合環系が少なくとも３個の環で形成されたもの，例．アミノアントラキノンカルボン酸
C07C229/76	アミノカルボン酸の金属錯体
C07C231/00	カルボン酸アミドの製造
C07C231/02	アンモニアまたはアミンとの反応によるカルボン酸そのエステル，無水物またはハロゲン化物からの製造
C07C231/04	アンモニアまたはアミンとの反応によるケテンからの製造
C07C231/06	シアノ基のカルボン酸アミド基への変換によるニトリルからの製造
C07C231/065	｛触媒として金属または金属イオンを用いた水和反応によるもの｝
C07C231/08	カルボン酸アミド基の窒素原子における反応によるアミドからの製造
C07C231/10	Ｃ０７Ｃ２３１／０２からＣ０７Ｃ２３１／０８に含まれない化合物から
C07C231/12	カルボン酸アミド基の形成の関与しない反応による製造
C07C231/14	カルボン酸アミド基の形成の関与しない反応を伴う，カルボン酸アミド基の形成による製造
C07C231/16	光学異性体の製造
C07C231/18	立体特異的合成によるもの
C07C231/20	光学異性体の分離によるもの
C07C231/22	分離；精製；安定化；添加剤の使用（光学異性体の分離Ｃ０７Ｃ２３１／２０）
C07C231/24	分離；精製
C07C233/00	カルボン酸アミド
C07C233/01	カルボン酸アミド基の炭素原子が水素原子または非環式炭素原子に結合しているもの
C07C233/02	カルボン酸アミド基の窒素原子が水素原子または非置換炭化水素基の炭素原子に結合しているもの
C07C233/03	カルボン酸アミド基の炭素原子が水素原子に結合しているもの
C07C233/04	カルボン酸アミド基の炭素原子が飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/05	カルボン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C233/06	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C233/07	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C233/08	カルボン酸アミド基の炭素原子が環を含有する飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/09	カルボン酸アミド基の炭素原子が非環式不飽和炭素骨格の炭素原子に結合しているもの
C07C233/10	カルボン酸アミド基の炭素原子が６員芳香環以外の環を含有する不飽和炭素骨格の炭素原子に結合しているもの
C07C233/11	カルボン酸アミド基の炭素原子が６員芳香環を含有する不飽和炭素骨格の炭素原子に結合しているもの
C07C233/12	少なくとも１個のカルボン酸アミド基の窒素原子がハロゲン原子またはニトロもしくはニトロソ基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/13	置換された炭化水素基がカルボン酸アミド基の窒素原子に非環式炭素原子によって結合しているもの
C07C233/14	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環以外の環の炭素原子によって結合しているもの
C07C233/15	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環の環の炭素原子によって結合しているもの
C07C233/16	少なくとも１個のカルボン酸アミド基の窒素原子が単結合の酸素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C233/17	置換された炭化水素基がカルボン酸アミド基の窒素原子に非環式炭素原子によって結合しているもの
C07C233/18	カルボン酸アミド基の炭素原子が水素原子または非環式飽和炭素骨格の炭素原子に結合しているもの
C07C233/19	カルボン酸アミド基の炭素原子が環を含有する飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/20	カルボン酸アミド基の炭素原子が非環式不飽和炭素骨格の炭素原子に結合しているもの
C07C233/21	カルボン酸アミド基の炭素原子が６員芳香環以外の環を含有する不飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/22	カルボン酸アミド基の炭素原子が６員芳香環を含有する炭素骨格の非環式炭素原子に結合しているもの
C07C233/23	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環以外の環の炭素原子によって結合しているもの
C07C233/24	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環の炭素原子によって結合しているもの
C07C233/25	カルボン酸アミド基の炭素原子が水素原子または非環式飽和炭素骨格の炭素原子に結合しているもの
C07C233/26	カルボン酸アミド基の炭素原子が環を含有する飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/27	カルボン酸アミド基の炭素原子が非環式不飽和炭素骨格の炭素原子に結合しているもの
C07C233/28	カルボン酸アミド基の炭素原子が６員芳香環以外の環を含有する不飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/29	カルボン酸アミド基の炭素原子が６員芳香環を含有する炭素骨格の非環式炭素原子に結合しているもの
C07C233/30	少なくとも１個のカルボン酸アミド基の窒素原子が二重結合の酸素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C233/31	置換された炭化水素基がカルボン酸アミド基の窒素原子に非環式炭素原子によって結合しているもの
C07C233/32	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環以外の環の炭素原子によって結合しているもの
C07C233/33	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環の炭素原子によって結合しているもの
C07C233/34	少なくとも１個のカルボン酸アミド基の窒素原子がアミノ基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/35	置換された炭化水素基がカルボン酸アミド基の窒素原子に非環式炭素原子によって結合しているもの
C07C233/36	カルボン酸アミド基の炭素原子が水素原子または非環式飽和炭素骨格の炭素原子に結合しているもの
C07C233/37	カルボン酸アミド基の炭素原子が環を含有する飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/38	カルボン酸アミド基の炭素原子が非環式不飽和炭素骨格の炭素原子に結合しているもの
C07C233/39	カルボン酸アミド基の炭素原子が６員芳香環以外の環を含有する不飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/40	カルボン酸アミド基の炭素原子が６員芳香環を含有する炭素骨格の非環式炭素原子に結合しているもの
C07C233/41	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環以外の環の炭素原子によって結合しているもの
C07C233/42	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環の炭素原子によって結合しているもの
C07C233/43	カルボン酸アミド基の炭素原子が水素原子または飽和炭素骨格の炭素原子に結合しているもの
C07C233/44	カルボン酸アミド基の炭素原子が不飽和炭素骨格の炭素原子に結合しているもの
C07C233/45	少なくとも１個のカルボン酸アミド基の窒素原子がカルボキシル基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/46	置換された炭化水素基がカルボン酸アミド基の窒素原子に非環式炭素原子によって結合しているもの
C07C233/47	カルボン酸アミド基の炭素原子が水素原子または非環式飽和炭素骨格の炭素原子に結合しているもの
C07C233/48	カルボン酸アミド基の炭素原子が環を含有する飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/49	カルボン酸アミド基の炭素原子が非環式不飽和炭素骨格の炭素原子に結合しているもの
C07C233/50	カルボン酸アミド基の炭素原子が６員芳香環以外の環を含有する不飽和炭素骨格の非環式炭素原子に結合しているもの
C07C233/51	カルボン酸アミド基の炭素原子が６員芳香環を含有する炭素骨格の非環式炭素原子に結合しているもの
C07C233/52	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環以外の環の炭素原子によって結合しているもの
C07C233/53	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香の環の炭素原子によって結合しているもの
C07C233/54	カルボン酸アミド基の炭素原子が水素原子または飽和炭素骨格の炭素原子に結合しているもの
C07C233/55	カルボン酸アミド基の炭素原子が不飽和炭素骨格の炭素原子に結合しているもの
C07C233/56	カルボン酸アミド基の炭素原子がカルボキシル基の炭素原子に結合しているもの，例．オキサミド
C07C233/57	カルボン酸アミド基の炭素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C233/58	カルボン酸アミド基の窒素原子が水素原子または非置換炭化水素基の炭素原子に結合しているもの
C07C233/59	少なくとも１個のカルボン酸アミド基の窒素原子がハロゲン原子またはニトロもしくはニトロソ基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/60	少なくとも１個のカルボン酸アミド基の窒素原子が単結合の酸素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C233/61	少なくとも１個のカルボン酸アミド基の窒素原子が二重結合の酸素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C233/62	少なくとも１個のカルボン酸アミド基の窒素原子がアミノ基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/63	少なくとも１個のカルボン酸アミド基の窒素原子がカルボキシル基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/64	カルボン酸アミド基の炭素原子が６員芳香環の炭素原子に結合しているもの
C07C233/65	カルボン酸アミド基の窒素原子が水素原子または非置換炭化水素基の炭素原子に結合しているもの
C07C233/66	少なくとも１個のカルボン酸アミド基の窒素原子がハロゲン原子またはニトロもしくはニトロソ基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/67	少なくとも１個のカルボン酸アミド基の窒素原子が単結合の酸素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C233/68	置換された炭化水素基がカルボン酸アミド基の窒素原子に非環式炭素原子によって結合しているもの
C07C233/69	非環式飽和炭素骨格の非環式炭素原子
C07C233/70	環を含有する飽和炭素骨格の非環式炭素原子
C07C233/71	非環式不飽和炭素骨格の非環式炭素原子
C07C233/72	６員芳香環以外の環を含有する不飽和炭素骨格の非環式炭素原子
C07C233/73	６員芳香環を含有する炭素骨格の非環式炭素原子
C07C233/74	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環以外の環の炭素原子によって結合しているもの
C07C233/75	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環の炭素原子によって結合しているもの
C07C233/76	少なくとも１個のカルボン酸アミド基の窒素原子が，二重結合の酸素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C233/77	少なくとも１個のカルボン酸アミド基の窒素原子が，アミノ基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/78	置換された炭化水素基がカルボン酸アミド基の窒素原子に非環式炭素原子によって結合しているもの
C07C233/79	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環以外の環の炭素原子によって結合しているもの
C07C233/80	置換された炭化水素基がカルボン酸アミド基の窒素原子に６員芳香環の炭素原子によって結合しているもの
C07C233/81	少なくとも１個のカルボン酸アミド基の窒素原子がカルボキシル基で置換された炭化水素基の炭素原子に結合しているもの
C07C233/82	置換された炭化水素基がカルボン酸アミド基の窒素原子に非環式炭素原子によって結合しているもの
C07C233/83	非環式飽和炭素骨格の非環式炭素原子
C07C233/84	環を含有する飽和炭素骨格の非環式炭素原子
C07C233/85	非環式不飽和炭素骨格の非環式炭素原子
C07C233/86	６員芳香環以外の環を含有する不飽和炭素骨格の非環式炭素原子
C07C233/87	６員芳香環を含有する炭素骨格の非環式炭素原子
C07C233/88	カルボン酸アミド基の窒素原子が非環式炭素原子と，少なくとも１個のオルト位の水素原子が置換されている６員芳香環の炭素原子とに結合しているもの
C07C233/89	カルボン酸アミド基の窒素原子が４級化されているもの
C07C233/90	カルボン酸アミド基の窒素原子がさらにアシル化されているもの
C07C233/91	カルボン酸アミド基の炭素原子が非環式炭素原子に結合しているもの
C07C233/92	少なくとも１個のカルボン酸アミド基の炭素原子が６員芳香環の炭素原子に結合しているもの
C07C235/00	酸部分の炭素骨格がさらに酸素原子で置換されているカルボン酸アミド
C07C235/02	カルボン酸アミド基の炭素原子が非環式炭素原子に結合し，それと同じ炭素骨格に単結合の酸素原子が結合しているもの
C07C235/04	炭素骨格が非環式で飽和のもの
C07C235/06	カルボン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C235/08	少なくとも１個のカルボン酸アミド基の窒素原子が単結合の酸素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C235/10	少なくとも１個のカルボン酸アミド基の窒素原子がニトロ基またはニトロソ基の一部ではない窒素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C235/12	少なくとも１個のカルボン酸アミド基の窒素原子がカルボキシル基で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C235/14	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C235/16	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C235/18	少なくとも１個の単結合の酸素原子がさらに６員芳香環の炭素原子と結合しているもの，例．フェノキシアセトアミド
C07C235/20	カルボン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C235/22	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C235/24	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C235/26	炭素骨格が飽和で環を含有するもの
C07C235/28	炭素骨格が非環式で不飽和のもの
C07C235/30	炭素骨格が不飽和で６員芳香環以外の環を含有するもの
C07C235/32	炭素骨格が６員芳香環を含有するもの
C07C235/34	カルボン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C235/36	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C235/38	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C235/40	カルボン酸アミド基の炭素原子が６員芳香環以外の環の炭素原子に結合し，それと同じ炭素骨格に単結合の酸素原子が結合しているもの
C07C235/42	カルボン酸アミド基の炭素原子が６員芳香環の炭素原子に結合し，それと同じ炭素骨格に単結合の酸素原子が結合しているもの
C07C235/44	カルボン酸アミド基の炭素原子と単結合の炭素原子が同じ非縮合６員芳香環の炭素原子に結合しているもの
C07C235/46	カルボン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C235/48	少なくとも１個のカルボン酸アミド基の窒素原子が単結合の酸素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C235/50	少なくとも１個のカルボン酸アミド基の窒素原子がニトロまたはニトロソ基の一部ではない窒素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C235/52	少なくとも１個のカルボン酸アミド基の窒素原子がカルボキシル基で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C235/54	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C235/56	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C235/58	カルボン酸アミド基の炭素原子と単結合の酸素原子が同じ非縮合６員芳香環の炭素原子にオルト位で結合しているもの
C07C235/60	カルボン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C235/62	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C235/64	少なくとも１個のカルボン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C235/66	カルボン酸アミド基の炭素原子が縮合環系の一部分である６員芳香環の炭素原子に結合し，単結合の酸素原子が同じ炭素骨格に結合しているもの
C07C235/68	少なくとも１個のカルボン酸アミド基の窒素原子が非環式炭素原子と少なくとも１個のカルボン酸アミド基の窒素原子が非環式炭素原子と少なくとも１個のオルト位の水素原子が置換されている６員芳香環の炭素原子とに結合しているもの
C07C235/70	カルボン酸アミド基の炭素原子と二重結合の酸素原子が同じ炭素骨格に結合しているもの
C07C235/72	カルボン酸アミド基の炭素原子が非環式炭素原子に結合しているもの
C07C235/74	飽和炭素骨格の非環式炭素原子
C07C235/76	不飽和炭素骨格の非環式炭素原子
C07C235/78	環を含有する炭素骨格
C07C235/80	カルボン酸アミド基の炭素原子とケト基の炭素原子とが同じ炭素原子に結合しているもの，例．アセト酢酸アミド
C07C235/82	少なくとも１個のカルボン酸アミド基の炭素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C235/84	少なくとも１個のカルボン酸アミド基の炭素原子が６員芳香環の炭素原子に結合しているもの
C07C235/86	少なくとも１個のカルボン酸アミド基の窒素原子が４級化されているもの
C07C235/88	少なくとも１個のカルボン酸アミド基の窒素原子がさらにアシル化されているもの
C07C237/00	酸部分の炭素骨格がさらにアミノ基で置換されているカルボン酸アミド
C07C237/02	カルボン酸アミド基の炭素原子が炭素骨格の非環式炭素原子に結合しているもの
C07C237/04	炭素骨格が非環式で飽和のもの
C07C237/06	カルボン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C237/08	少なくとも１個のカルボン酸アミド基の窒素原子が単結合の酸素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C237/10	少なくとも１個のカルボン酸アミド基の窒素原子がニトロまたはニトロソ基の一部ではない窒素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C237/12	少なくとも１個のカルボン酸アミド基の窒素原子がカルボキシル基で置換された炭化水素基の非環式炭素原子に結合しているもの（ペプチドＣ０７Ｋ）
C07C237/14	炭素骨格が飽和で環を含有するもの
C07C237/16	炭素骨格が非環式で不飽和のもの
C07C237/18	炭素骨格が不飽和で６員芳香環以外の環を含有するもの
C07C237/20	炭素骨格が６員芳香環を含有するもの
C07C237/22	アミノ基の窒素原子が酸部分の炭素骨格に結合し，さらにアシル化されているもの（ペプチドＣ０７Ｋ）
C07C237/24	少なくとも１個のカルボン酸アミド基の炭素原子が炭素骨格の６員芳香環以外の環の炭素原子に結合しているもの
C07C237/26	少なくとも４個の環からなる縮合環系の一部である環，例．テトラサイクリン
C07C237/28	少なくとも１個のカルボン酸アミド基の炭素原子が炭素骨格の非縮合６員芳香環の炭素原子に結合しているもの
C07C237/30	カルボン酸アミド基の窒素原子が水素原子または非環式炭素原子に結合しているもの
C07C237/32	カルボン酸アミド基の窒素原子が酸素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C237/34	カルボン酸アミド基の窒素原子がニトロまたはニトロソ基の一部ではない窒素原子で置換された炭化水素基の非環式炭素原子に結合しているもの
C07C237/36	カルボン酸アミド基の窒素原子がカルボキシル基で置換された炭化水素の非環式炭素原子に結合しているもの
C07C237/38	カルボン酸アミド基の窒素原子が６員芳香環以外の環の炭素原子に結合しているもの
C07C237/40	カルボン酸アミド基の窒素原子が６員芳香環の炭素原子に結合しているもの
C07C237/42	アミノ基の窒素原子が酸部分の炭素骨格に結合し，さらにアシル化されているもの
C07C237/44	カルボン酸アミド基の炭素原子，アミノ基および単結合の酸素原子が同じ非縮合６員芳香環の炭素原子に結合しているもの
C07C237/46	カルボン酸アミド基の炭素原子，アミノ基および少なくとも３個の臭素またはヨウ素原子が同じ非縮合６員芳香環の炭素原子に結合しているもの
C07C237/48	少なくとも１個のカルボン酸アミド基の炭素原子が同じ炭素骨格の縮合環系の一部である６員芳香環の炭素原子に結合しているもの
C07C237/50	少なくとも１個のカルボン酸アミド基の窒素原子が４級化されているもの
C07C237/52	少なくとも１個のカルボン酸アミド基の窒素原子がさらにアシル化されているもの
C07C239/00	窒素―ハロゲン結合を含有する化合物；ヒドロキシルアミノ化合物またはそのエーテルもしくはエステル（オキシムＣ０７Ｃ２５１／００；ヒドロキサム酸またはその誘導体Ｃ０７Ｃ２５９／００）
C07C239/02	窒素―ハロゲン結合を含有する化合物
C07C239/04	Ｎ―ハロゲン化アミン
C07C239/06	Ｎ―ハロゲン化カルボン酸アミド
C07C239/08	ヒドロキシルアミノ化合物またはそのエーテルもしくはエステル
C07C239/10	ヒドロキシルアミノ基の窒素原子がさらに不飽和炭化水素基または，ハロゲン原子またはニトロもしくはニトロソ基で置換された炭化水素基の炭素原子に結合しているもの
C07C239/12	ヒドロキシルアミノ基の窒素原子がさらに単結合の酸素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C239/14	ヒドロキシルアミノ基の窒素原子がさらに二重結合の酸素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C239/16	ヒドロキシルアミノ基の窒素原子がさらにニトロまたはニトロソ基の一部でない窒素原子で置換された炭化水素基の炭素原子に結合しているもの
C07C239/18	ヒドロキシルアミノ基の窒素原子がさらにカルボキシル基で置換された炭化水素基の炭素原子に結合しているもの
C07C239/20	ヒドロキシルアミノ基の酸素原子がエーテル化されているもの
C07C239/22	ヒドロキシルアミノ基の酸素原子がエステル化されているもの
